Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10001,2024-01-01,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card
10002,2024-01-02,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal
10003,2024-01-03,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card
10004,2024-01-04,Books,The Da Vinci Code,4,15.99,63.96,North America,Cash
10005,2024-01-05,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,Credit Card
10006,2024-01-06,Electronics,Samsung Galaxy S23,2,899.99,1799.98,Asia,UPI
10007,2024-01-07,Clothing,Nike T-Shirt,5,39.99,199.95,South America,Debit Card
10008,2024-01-08,Books,Atomic Habits,3,18.99,56.97,Australia,Cash
10009,2024-01-09,Home Appliances,Air Fryer,2,149.99,299.98,Europe,PayPal
10010,2024-01-10,Beauty Products,Face Serum,4,29.99,119.96,Asia,UPI
10011,2024-01-11,Electronics,MacBook Air,1,1199.99,1199.99,North America,Credit Card
10012,2024-01-12,Clothing,Jacket,2,129.99,259.98,Europe,Debit Card
10013,2024-01-13,Books,Rich Dad Poor Dad,3,14.99,44.97,Asia,Cash
10014,2024-01-14,Home Appliances,Microwave Oven,1,299.99,299.99,Australia,PayPal
10015,2024-01-15,Beauty Products,Perfume,2,59.99,119.98,South America,Credit Card
10016,2024-01-16,Electronics,Headphones,5,99.99,499.95,Asia,UPI
10017,2024-01-17,Clothing,Jeans,3,79.99,239.97,Europe,Debit Card
10018,2024-01-18,Books,The Alchemist,4,12.99,51.96,North America,Cash
10019,2024-01-19,Home Appliances,Mixer Grinder,2,199.99,399.98,Asia,UPI
10020,2024-01-20,Beauty Products,Hair Dryer,1,49.99,49.99,Europe,Credit Card
10021,2024-01-21,Electronics,Tablet,3,299.99,899.97,Australia,Debit Card
10022,2024-01-22,Clothing,Sweatshirt,4,59.99,239.96,Asia,UPI
10023,2024-01-23,Books,Think and Grow Rich,2,16.99,33.98,South America,Cash
10024,2024-01-24,Home Appliances,Toaster,3,89.99,269.97,Europe,PayPal
10025,2024-01-25,Beauty Products,Makeup Kit,2,79.99,159.98,Asia,Credit Card
10026,2024-01-26,Electronics,Smart Watch,4,199.99,799.96,North America,Debit Card
10027,2024-01-27,Clothing,Formal Shirt,5,49.99,249.95,Europe,UPI
10028,2024-01-28,Books,Deep Work,3,17.99,53.97,Asia,Cash
10029,2024-01-29,Home Appliances,Electric Kettle,2,59.99,119.98,Australia,PayPal
10030,2024-01-30,Beauty Products,Sunscreen Lotion,4,24.99,99.96,Asia,Credit Card
10031,2024-01-31,Electronics,Bluetooth Speaker,3,149.99,449.97,Europe,Debit Card
10032,2024-02-01,Clothing,Running Shoes,2,129.99,259.98,North America,Credit Card
10033,2024-02-02,Books,Ikigai,5,13.99,69.95,Asia,Cash
10034,2024-02-03,Home Appliances,Refrigerator,1,899.99,899.99,Europe,PayPal
10035,2024-02-04,Beauty Products,Body Lotion,3,19.99,59.97,Asia,UPI
10036,2024-02-05,Electronics,Power Bank,4,49.99,199.96,South America,Debit Card
10037,2024-02-06,Clothing,Cap,6,19.99,119.94,Europe,Cash
10038,2024-02-07,Books,Start With Why,2,21.99,43.98,Asia,UPI
10039,2024-02-08,Home Appliances,Washing Machine,1,699.99,699.99,North America,Credit Card
10040,2024-02-09,Beauty Products,Face Wash,5,14.99,74.95,Asia,Cash
10041,2024-02-10,Electronics,Monitor,2,249.99,499.98,Europe,Debit Card
10042,2024-02-11,Clothing,Hoodie,3,89.99,269.97,Asia,UPI
10043,2024-02-12,Books,Zero to One,4,19.99,79.96,Australia,Cash
10044,2024-02-13,Home Appliances,Coffee Maker,2,129.99,259.98,Europe,PayPal
10045,2024-02-14,Beauty Products,Makeup Brush Set,1,39.99,39.99,Asia,Credit Card
10046,2024-02-15,Electronics,Gaming Mouse,5,59.99,299.95,North America,Debit Card
10047,2024-02-16,Clothing,Track Pants,4,49.99,199.96,Europe,UPI
10048,2024-02-17,Books,The Psychology of Money,3,18.99,56.97,Asia,Cash
10049,2024-02-18,Home Appliances,Water Purifier,1,399.99,399.99,South America,PayPal
10050,2024-02-19,Beauty Products,Night Cream,2,34.99,69.98,Asia,Credit Card
10051,2024-02-20,Electronics,External Hard Drive,3,99.99,299.97,Europe,Debit Card
